2022-05-12 16:16:02.842 | INFO     | monitor.titleManager:persist:80 - 人民网 keywords saved to spider:keyword:人民网 ['贵州：建成全省统一的数字政府平台', '欧洲电动汽车市场持续扩大', '克罗地亚前总统高度评价中克建交30年关系发展', '技术进步赋予多重优点，无人机成为军事竞争新热点', '欧盟代表访问伊朗将使伊核谈判朝正确方向迈进', '产教融合培养研究生 怎样才能让学校、企业“动真格”', '如何面试？看学长、专家怎么说', '世卫组织：全球累计新冠确诊病例达516476402例', '白衣战士的青春色彩', '北京新增35例本土确诊病例和11例本土无症状感染者', '法国对非政策再遇挫折', '反制措施及有效抗疫助推委内瑞拉经济回暖', '尼日利亚军队遭武装分子伏击致6死1失踪', '洛杉矶县“生活质量指数”降至新低', '广西融安：防汛演练备汛期', '美海军陆战队提升保障能力', '中国驻意大利大使：中方将继续支持一切有利于建立均衡、有…', '南部战区海军某潜艇支队强化理论武装举旗铸魂', '国家移民管理局严打跨境赌博 2021年以来侦破偷渡出境参赌涉诈案件1.1万起', '俄罗斯举行胜利日阅兵', '喀麦隆一搭载11人飞机失联', '军地联合举行“应急使命·2022”抗震救灾演习', '全军采取多种措施推动护理工作高质量发展', '全国统一医保信息平台建成', '公安部A级通缉令在逃人员黎经发落网', '巴拿马加强海洋生态系统保护', '以生命赴使命 这些白衣天使的故事令人感动', '中国以色列执政党青年政治精英创新发展论坛举行', '半世纪来第一次！美国国会将就UFO问题举行听证会', '华南有持续性强降雨 北方有较强冷空气活动', '俄说没有实施战时状态的计划', '云南军地注重在任务一线强化民兵党团组织建设', '第78集团军某旅：“伴随保障”强化战场意识', '四川省成都市军地开展应对暴雨洪涝与地质灾害综合演练', '全球连线 | 俄乌战事紧 美国军援忙', '美国当前的做法无助于结束乌克兰危机（深度观察）', '土耳其通货膨胀率持续高位运行', '第71集团军某旅营造科学选人用人育人环境', '河南省三门峡军分区组织观摩评比找差距补短板', '西藏航空一航班在重庆机场偏出跑道起火', '河南省信阳市借助红色资源开展城舰共建活动', '成语释法之岂有此“理”', '拜登表示正讨论取消对华加征关税', '芬英发表联合声明以加强国防和安全合作', '习近平同斯洛文尼亚总统帕霍尔就中斯建交30周年互致贺电', '中国代表：追加制裁不是应对当前朝鲜半岛局势的合适方式', '最新动态：俄说美对乌援助旨在打对俄代理人战争 乌批准将…', '成语释法之莫上贼“传”', '综合消息：让青春在海外焕发异彩 用智慧汗水打拼出更美好…', '家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导', '城乡区域协调发展按下“快进键”（新气象 新作为）', '西藏航空一客机在重庆机场偏出跑道 民航部门已赴现场开展调查处置', '成语释法之自身难“保”', '联合国秘书长对半岛电视台女记者在巴以冲突中遇害表示震惊', '俄说将继续履行天然气供应合同义务', '“脱欧”风波再起 英国威胁撕毁协议部分内容', '全球连线 | 美国丧钟悲鸣哀悼百万新冠逝者', '湖南法院受理首例提级管辖案件', '中国常驻联合国副代表呼吁国际社会加大对波黑的抗疫和发展…', '荷兰侨界隆重庆祝中荷建交50周年', '这群你牵挂了14年的少年，变样了！', '上海方舱：智能服务机器人多场景“上岗”', '入户接种，把安心送进家门', '埃及安全部队打死14名恐怖分子', '俄罗斯别尔哥罗德州一村庄遭炮击致1死6伤', '日本国会通过经济安全保障法', '竞选团队宣布马科斯赢得菲律宾总统选举', '调查报告揭开美国联邦印第安人寄宿学校“黑暗史”', '伊拉克底格里斯河水位下降', '辽宁省葫芦岛市在国有企业试点建设退役军人服务中心', '从特勤排到特战排：一字之变的背后', '全国防灾减灾日：记牢这些，关键时刻能自救！', '印度启动无人战车研发计划', '缅甸首个百兆瓦级光伏项目群全面开工建设', '华南有持续性强降雨 多地气象部门强化应急联动全力防范应对强降雨', '俄乌冲突“世界冲击波”之经济篇——西方制裁殃及全球\u3000世…', '海军航空兵某旅：“任务套餐”紧跟演训进程', '德国4月通胀率再创新高', '习近平向菲律宾当选总统马科斯致贺电', '外交部：贸易战、关税战没有赢家', '第82集团军某旅深化规章制度落实一例', '王毅同巴基斯坦外长比拉瓦尔举行视频会晤', '成语释法之锱铢“币”较', '多哥北部发生袭击事件致8人死亡', '韩拟借新潜艇强固“军备链”', '第82集团军某旅开展地震救援演练', '英国新型护卫舰首舰举行龙骨铺设仪式', '我赴黎维和部队向任务区民众捐赠药品', '新疆召开“新疆宗教信仰自由状况”视频宣介会', '荷兰侨胞携手中荷各界人士庆祝中荷建交50周年', '珠峰大本营：同一片蓝天下的“精灵” ', '中国第8批赴南苏丹维和步兵营高标准通过联合国装备核查', '海军某护卫舰支队舰艇编队开展多科目训练', '成语释法之明辨是“非”', '中国和联合国难民署向阿富汗发放人道主义物资', '春暖花开日 练兵正当时', '俄军在乌“亚速营”据点发现军事英语教材', '中白工业园迎来第90家入园企业', '勘查山坳弃渣场 寻找解纷突破口', '美国4月CPI同比涨幅微降但仍处于高位', '武警邯郸支队开展机关基层双向讲评', '陆军某旅开展夜间实战化对抗演练', '今日起，北京公交地铁出租运营有重大调整', '王毅：中方愿同巴方一道，坚决挫败一切破坏中巴关系的图谋', '希土矛盾加剧 北约内讧再起', '朝鲜首次报告新冠确诊病例 提高疫情防控措施至最高级别', '全国防灾减灾日：各地积极组织开展防灾减灾宣传教育活动 公众参与积极踊跃', '菲律宾接收土耳其T-129“猫鼬”武装直升机', '加大海洋环境司法保护力度 服务海洋强国建设']
2022-05-12 16:16:02.943 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 微信  关键词：“春天最晚到来的”日本北海道根室市宣布樱花开花 共检索到 0条 有效request
2022-05-12 16:16:02.968 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 微信 删除关键词 “春天最晚到来的”日本北海道根室市宣布樱花开花
2022-05-12 16:16:03.215 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 微信  关键词：广西融安：防汛演练备汛期 共检索到 0条 有效request
2022-05-12 16:16:03.230 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 微信 删除关键词 广西融安：防汛演练备汛期
2022-05-12 16:16:03.323 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 人民网  关键词：俄罗斯举行胜利日阅兵 共检索到 15条 有效request
2022-05-12 16:16:03.349 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民网 删除关键词 俄罗斯举行胜利日阅兵
2022-05-12 16:16:03.362 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 凤凰网  关键词：“春天最晚到来的”日本北海道根室市宣布樱花开花 共检索到 0条 有效request
2022-05-12 16:16:03.426 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 凤凰网 删除关键词 “春天最晚到来的”日本北海道根室市宣布樱花开花
2022-05-12 16:16:03.756 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 凤凰网  关键词：德国4月通胀率再创新高 共检索到 60条 有效request
